Plant Section (Region),Branch,Equipment,VMRS Component Description,Total
ECE,FLEET-8024-EVNV,T20037,Sensor - Coolant Level,$0.00
ECE,FLEET-8024-LEXN,S15156,Actuator - Turbocharger Wastegate,$0.00
ECE,FLEET-8024-LEXN,S15156,Sensor - Coolant Level,$0.00
ECE,FLEET-8024-LEXN,S17048,Filter - Crankcase Ventilation,$0.00
ECE,FLEET-8024-LSVL,E14213,Exhaust After-Treatment Devices, $107.16 
ECE,FLEET-8024-LSVL,S11002,Exhaust After-Treatment Devices, $760.35 
ECE,FLEET-8024-LSVL,S22022,Sensor - Coolant Level, $102.06 
ECE,FLEET-8024-LSVL,T15027,Exhaust After-Treatment Devices, $597.05 
ECE,FLEET-8024-LSVL,T18038,Exhaust After-Treatment Devices, $132.68 
ECE,FLEET-8024-LSVL,T19019,Exhaust After-Treatment Devices, $306.18 
ECE,FLEET-8024-LSVL,T19020,Exhaust After-Treatment Devices, $163.30 
ECE,FLEET-8024-LSVL,T19032,Exhaust After-Treatment Devices," $1,574.00 "
ECE,FLEET-8024-LSVL,T19033,Exhaust After-Treatment Devices, $61.24 
ECE,FLEET-8030-CINC,E14111,Filter - Diesel Particulate," $11,237.08 "
ECE,FLEET-8030-CINC,E14112,Filter - Diesel Particulate, $76.55 
ECE,FLEET-8030-CINC,M09012,Filter - Diesel Particulate, $76.55 
ECE,FLEET-8030-CINC,S15077,Filter - Diesel Particulate, $102.07 
ECE,FLEET-8030-CINC,S15079,Filter - Diesel Particulate," $1,485.57 "
ECE,FLEET-8030-CINC,S17095,," $2,129.07 "
ECE,FLEET-8030-CINC,T18054,Actuator - Turbocharger Wastegate, $255.15 
ECE,FLEET-8030-CINC,T18054,Exhaust After-Treatment Devices," $2,051.92 "
ECE,FLEET-8031-COLM,M18004,Exhaust After-Treatment Devices," $2,666.38 "
ECE,FLEET-8031-COLM,S13021,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $51.03 
ECE,FLEET-8031-COLM,S15080,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $25.52 
ECE,FLEET-8031-COLM,T17129,Exhaust After-Treatment Devices," $2,218.86 "
ECE,FLEET-8031-COLM,T19003,Exhaust After-Treatment Devices, $76.55 
ECE,FLEET-8031-COLM,T19003,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $214.33 
ECE,FLEET-8031-COLM,T19004,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $51.03 
ECE,FLEET-8032-DAYT,E13122,Actuator - Turbocharger Wastegate," $2,051.31 "
ECE,FLEET-8032-DAYT,E13122,Exhaust After-Treatment Devices, $5.10 
ECE,FLEET-8032-DAYT,S11006,Sensor - Injection Control Pressure (ICP)," $3,942.76 "
ECE,FLEET-8033-LITH,S16064,Actuator - Turbocharger Wastegate," $2,380.63 "
ECE,FLEET-8033-LITH,S19064,Actuator - Turbocharger Wastegate," $5,296.99 "
ECE,FLEET-8033-LITH,S22075,"Instruments, Gauges, Warning & Shutdown Devices, & Meters",$0.00
ECE,FLEET-8033-MIDV,S15088,"Sensor - Water, Fuel/Water Separator"," $1,065.11 "
ECE,FLEET-8035-SOUP,E13142,Actuator - Turbocharger Wastegate," $1,990.18 "
ECE,FLEET-8035-SOUP,E13143,Actuator - Turbocharger Wastegate," $2,952.22 "
ECE,FLEET-8035-SOUP,E13146,Actuator - Turbocharger Wastegate," $3,236.01 "
ECE,FLEET-8035-SOUP,E14221,Filter - Crankcase Ventilation, $239.75 
ECE,FLEET-8035-SOUP,S17099,Actuator - Turbocharger Wastegate," $2,288.37 "
ECE,FLEET-8035-SOUP,T18037,Actuator - Turbocharger Wastegate," $1,916.67 "
ECE,FLEET-8047-INDP,E13078,Exhaust After-Treatment Devices, $863.58 
ECE,FLEET-8047-INDP,E13097,Filter - Diesel Particulate, $127.58 
ECE,FLEET-8047-INDP,E13098,Filter - Crankcase Ventilation, $169.25 
ECE,FLEET-8047-INDP,E13101,Actuator - Turbocharger Wastegate," $2,037.35 "
ECE,FLEET-8047-INDP,E13104,Filter - Crankcase Ventilation, $143.73 
ECE,FLEET-8047-SBND,E13117,Exhaust After-Treatment Devices,$0.00
ECE,FLEET-8049-TWBG,E10005,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $163.30 
ECE,FLEET-8049-TWBG,E14187,Exhaust After-Treatment Devices," $2,000.42 "
ECE,FLEET-8049-TWBG,S13003,"Sensor - Water, Fuel/Water Separator", $119.82 
ECE,FLEET-8049-TWBG,S13023,Exhaust After-Treatment Devices, $102.06 
ECE,FLEET-8049-TWBG,S13023,Filter - Crankcase Ventilation, $319.22 
ECE,FLEET-8049-TWBG,S16062,Exhaust After-Treatment Devices, $102.06 
ECE,FLEET-8049-TWBG,S21136,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $51.03 
ECE,FLEET-8049-TWBG,T15035,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $234.74 
NCE,FLEET-8025-DETR,E13236,Actuator - Turbocharger Wastegate," $3,040.71 "
NCE,FLEET-8025-DETR,E14088,Actuator - Turbocharger Wastegate," $3,304.42 "
NCE,FLEET-8025-DETR,E14088,Sensor - Coolant Level,$0.00
NCE,FLEET-8025-DETR,E14092,Actuator - Turbocharger Wastegate,$0.00
NCE,FLEET-8025-DETR,E14097,Filter - Diesel Particulate,$0.00
NCE,FLEET-8025-DETR,E14102,Actuator - Turbocharger Wastegate," $2,884.09 "
NCE,FLEET-8025-DETR,E14102,Exhaust After-Treatment Devices, $63.50 
NCE,FLEET-8025-DETR,E14102,Sensor - Coolant Level, $951.00 
NCE,FLEET-8025-DETR,E14201,Actuator - Turbocharger Wastegate,$0.00
NCE,FLEET-8025-DETR,N14007,Sensor - Coolant Level, $313.75 
NCE,FLEET-8026-CADL,E13137,Filter - Diesel Particulate, $974.61 
NCE,FLEET-8026-GALD,E10017,Filter - Diesel Particulate," $1,767.55 "
NCE,FLEET-8026-GALD,E13176,Actuator - Turbocharger Wastegate," $3,386.77 "
NCE,FLEET-8026-GALD,E13177,Actuator - Turbocharger Wastegate," $2,214.16 "
NCE,FLEET-8026-GRDL,T19005,Sensor - Coolant Level,$0.00
NCE,FLEET-8026-HOLL,E13195,Exhaust After-Treatment Devices," $1,525.18 "
NCE,FLEET-8026-HOLL,E13195,Intake Manifold,$0.00
NCE,FLEET-8026-HOLL,E13199,Exhaust After-Treatment Devices, $192.27 
NCE,FLEET-8026-HOLL,E13199,Sensor - Coolant Level,$0.00
NCE,FLEET-8026-HOLL,E13202,Filter - Diesel Particulate," $6,076.70 "
NCE,FLEET-8026-HOLL,E13204,Exhaust After-Treatment Devices, $628.59 
NCE,FLEET-8026-HOLL,E14087,Filter - Diesel Particulate,$0.00
NCE,FLEET-8026-HOLL,T16001,Actuator - Turbocharger Wastegate, $354.78 
NCE,FLEET-8026-HOLL,T16001,Exhaust After-Treatment Devices, $151.88 
NCE,FLEET-8026-HOLL,T17121,Exhaust After-Treatment Devices, $512.72 
NCE,FLEET-8026-HOLL,T17124,Filter - Diesel Particulate,$0.00
NCE,FLEET-8026-HOLL,T17125,Exhaust After-Treatment Devices, $841.94 
NCE,FLEET-8026-HOLL,T17125,Filter - Diesel Particulate, $524.95 
NCE,FLEET-8026-HOLL,T17126,Actuator - Turbocharger Wastegate,$0.00
NCE,FLEET-8026-HOLL,T17126,Filter - Diesel Particulate, $64.09 
NCE,FLEET-8026-HOLL,T17127,Filter - Diesel Particulate,$0.00
NCE,FLEET-8026-MNTM,E13168,Filter - Diesel Particulate,$0.00
NCE,FLEET-8026-MNTM,S19067,Filter - Diesel Particulate," $1,277.92 "
NCE,FLEET-8026-MNTM,T15032,Actuator - Turbocharger Wastegate," $2,921.23 "
NCE,FLEET-8036-TOLE,S21114,Exhaust After-Treatment Devices, $567.75 
NCE,FLEET-8046-PEOR,S15046,Exhaust After-Treatment Devices, $868.00 
NCE,FLEET-8046-WATR,M12001,Filter - Crankcase Ventilation,$0.00
NEA,FLEET-8026-MNTM,M09016,Sensor - Coolant Level," $1,137.98 "
NEA,FLEET-8027-AVNL,N15006,Actuator - Turbocharger Wastegate, $5.10 
NEA,FLEET-8027-AVNL,T17137,Exhaust After-Treatment Devices, $178.61 
NEA,FLEET-8040-CRAT,E13153,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $51.03 
NEA,FLEET-8040-CRAT,E13154,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $112.27 
NEA,FLEET-8040-CRAT,E13157,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $142.88 
NEA,FLEET-8040-CRAT,E14180,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $510.30 
NEA,FLEET-8040-CRAT,E14182,"Instruments, Gauges, Warning & Shutdown Devices, & Meters"," $1,236.81 "
NEA,FLEET-8040-CRAT,E14194,"Instruments, Gauges, Warning & Shutdown Devices, & Meters", $255.15 
